"id","merek","ram","processor","versi_os","battery","harga","layar"
2,Realme 8 5G,8,MediaTek Dimensity 700,Android 11,5000,2450000,6.5
1,Vivo Y75,8,MediaTek Dimensity 700,Android 11,5000,2850000,6.58
3,OPPO A78 5G,8,MediaTek Dimensity 700,Android 12,5000,3535000,6.56
4,Asus Zenfrone 10,8,Qualcomm Snapdragon 8,Android 13,4300,8499000,5.92
5,OPPO Reno8 Pro 5G,12,MediaTek Dimensity 8100,Android 12,4500,6800000,6.7
6,Xiaomi 12T 5G,8,MediaTek Dimensity 8100,Android 12,5000,6599000,6.67
7,Realme GT Neo 3,8,MediaTek Dimensity 8100,Android 12,5000,5499000,6.7
8,Asus ROG Phone 7,12,Qualcomm Snapdragon 8,Android 13,6000,12799000,6.78
9,Xiaomi 12,12,Qualcomm Snapdragon 8,Android 12,4500,8000000,6.28
10,Samsung Galaxy S22 5G,8,Qualcomm Snapdragon 8,Android 12,3700,8000000,6.1
